Q1,nota,feedback,,Q2a,nota,feedback,,Q2b,nota,feedback,,Q3a,nota,feedback,,Q3b,nota,feedback
"Arte, cultura e censura estão intrinsecamente conectados, a cultura de um povo enriquece a arte e a censura apenas delimita a liberdade de expressão, é capaz de levar à tona a criatividade do artista e a sua capacidade de burlar restrições. Existe uma grande quantidade de coisas que podem ser consideradas arte, isso inclui objetos, atividades e até mesmo ideias, uma maneira educativa para minimizar tensões sobre o assunto é normalizar o fato de que quase tudo pode ser arte. Principalmente via a educação, outro método seria a aceitação da mistura de culturas pelo mundo, países com alta imigração e uma grande mistura de elementos culturais, enriquecem a arte de um povo","0,5",Faltou constituição e faltou proposta clara,,"Historicamente a sociedade sempre foi patriarcal, a mulher só ganhou o direito de votos recentemente e a violência contra a mulher é extremamente normalizada em certos meios. Um fato que demonstra essa desigualdade entre os gêneros e a diferença de Salário entre homens e mulheres. Muitos fatores podem explicar o motivo dessa desigualdade entre eles o cultural (a maioria das posições de poder estão no meio de homens). Religião (a maioria do mundo é cristão e na Bíblia a Eva é submissa ao Adão) e até mesmo biológico (o homem é naturalmente mais forte que a mulher, então mulheres podem ter medo de iniciar conflito)","0,9",Faltou desenvolver questões culturais por exemplo falar da objetificação sexual,,"Acho que o principal é o melhor acolhimento de vítimas dessas violências, já que hoje em dia vemos muitas pessoas não levando a sério, brincando com a situação ou até mesmo julgando.","0,5",Faltou mais uma proposta,,"A população de baixa renda, que vive nas periferias com pouca infraestrutura, é a mais afetada pelas desigualdades urbanas. Essas áreas tem moradias precárias e ocupam locais de risco, aumentando a exposição a enchentes e deslizamentos. Assim, a desigualdade social aumenta os riscos socioambientais para a população vulnerável.","0,65",Faltou violência e criminalidade,,"Uma proposta é investir em saneamento e melhoria das moradias nas periferias, com participação da comunidade. Outra é promover educação ambiental e ações de prevenção de desastres com apoio do governo e dos moradores.","0,75",Não detalhou como seria a participação da comunidade
"Considerando os textos fornecidos e a bagagem de conhecimento é de se pensar que a cultura, apesar de não ser uma regra, muitas vezes torna-se um limitador de arte, analisando a própria história brasileira, tivemos em 1964 a ditadura militar no Brasil, período qual houve uma relação muito forte entre a cultura e a censura, que por sua vez, repudiou qualquer tipo de arte que fosse contra o governo da época, desse jeito, inibindo qualquer liberdade de expressão do povo. Duas ações que poderiam ser tomadas a fim de diminuir essas tensões, seriam tanto compartilhamento de arte de outros países durante o processo educacional, e, até mesmo, do próprio país, visto que o Brasil é um país extremamente diverso.","0,75",Faltou constituição,,"Bom, na minha opinião, eles estão bem ligados, já que um foca na dominação masculina e o outro favorece mais os homens. Dito isso, hoje em dia vemos uma taxa maior de violência sexual, desigualdade em ambientes de trabalho, em tudo o que acaba desfavorecendo a mulher. Claro, isso tem a ver com vários esteriótipos colocados pela própria sociedade, com frases como ‘isso é trabalho de homem’, ‘também com essa roupa…’, ‘lugar de mulher é na cozinha’. Tudo isso influência o que vemos hoje.","0,5","Faltou questões culturais, desenvolver divisão do trabalho",,"Uma ação do estado é ampliar a rede de proteção às mulheres, com delegacias especializadas e aplicação eficaz de medidas protetivas. Outra ação é investir em educação para a igualdade de gênero, promovendo campanhas e formação nas escolas para prevenir a violência.",1,Padrão ouro,,"Desde o início do Brasil temos a segregação social entre a população, o que resultou em criação de espaços urbanos e de alta densidade de uma forma insegura. Com a evolução dessa desigualdade social e negligência de cuidado, o resultado é a criação de espaços não seguros em aspectos sociais, ambientais e físicos. Podendo ocorrer em enchentes, deslizamentos ou proliferações de doenças.tudo pelo acúmulo de pessoas em um pequeno espaço sem a estrutura adequada.","0,65",Faltou violência e criminalidade,,"Em situações como saúde o governo poderia realizar campanhas de educação e proteção contra a proliferação de doenças comuns da área. Em relações estruturais, o governo poderia avançar obras de evolução no saneamento básico da região.","0,75",Sem detalhamento
"Acho válido começar pelo o que é arte? A arte é liberdade de expressão, é um quadro pintado ao estar triste, uma música composta a partir do amor, é você criar algo a partir daquilo sentido. A cultura é a junção de todas essas artes (comidas, músicas, pinturas, livros), e isso é oque acaba mostrando aos não moradores do nosso país, do que somos feitos. A censura é a ocultação do que somos e criamos.","0,25",Só falou de arte e cultura,,"Desde os primórdios da sociedade mundial, existe a brutal segregação entre seres humanos, e, uma das maiores separações sociais ocorre na desigualdade de gênero socialmente dizendo, as mulheres sempre foram vistas como mais fracas, menos inteligentes e capazes, isso, sem fundamento ou embasamento científico, e sim, um mero achismo. Fazendo um paralelo com a sociedade atual, essa herança negativa histórica e social, faz boa parte das pessoas, mesmo que de forma inconsciente, julgar ao ver uma mulher em um cargo executivo ou político de peso, e, muitas vezes acaba acarretando em uma brusca diferenças salarial, e, majoritariamente de tratamento e respeito.","0,75",Faltou questoes culturais ,,"A primeira seria a punição rigorosa contra esses crimes, ou seja, uma mudança profunda no Código Penal Brasileiro, como prisão perpétua, redução da maioridade penal para esses tipos de crime. Outra proposta de intervenção é a conscientização por meio da educação, ou seja, uso de personas para não expor as vítimas desses crimes, uso de fontes embaçada, bandeiras sem polarização política, uso de estatísticas para alertar a população sobre esse tema na sociedade.",1,,,"A urbanização e a desigualdade territorial são fatores, consequências da desigualdade planejada. Zonas urbanas não planejadas e barreiras são construídas para abrigar a parcela da população economicamente vulnerável. São áreas de risco, negligenciadas pelo Estado e, consequentemente, mais vulneráveis aos riscos socioambientais.","0,35",Faltou criminalização,,"Regularização e fiscalização da área pelo Estado, fornecendo saneamento básico e segurança. Programas de doações de cestas básicas e suprimentos para famílias que moram em bairros vulneráveis.","0,75",Sem participação da comunidade
"A arte costuma gerar conflitos, pois questiona valores e padrões da sociedade. Como o primeiro texto nos aponta, ela não existe apenas para seguir regras culturais, mas para provocar reflexão e transformação. O texto dois deixa claro que a constituição de 1988 garante a liberdade de expressão artística, sem censura. Em um estudo democrático, o artista tem o direito de se expressar, mesmo que sua obra cause desconforto. Para diminuir esses conflitos, duas ações precisam ser tomadas, investir na educação para o pensamento crítico e promover debates sobre arte e cultura, incentivando o diálogo e tolerância",1,Padrão ouro ,,"É de clara absorção que existe sim uma desigualdade entre homens e mulheres nos temas destacados acima. Nossa sociedade deve analisar essas questões de modo imparcial, ou seja, sem polarização política, e sim, com o foco na causa raiz do problema.logo, há de haver regras, nesse caso leis, que pensam rigorosamente atividades desse tipo, e um estudo nas escolas e universidades abordando esse tema de forma que levem os alunos a tirarem suas conclusões sobre esse tema de forma imparcial. Pois, todos somos iguais perante a lei.","0,25","Faltou questões sociais, divisão do trabalho e naturalização",,"Criação de leis que defendem os direitos das mulheres, como direito ao voto, trabalho, cargos públicos, em ordem de ganhar mais respeito e se tornar mais vista como igual ao homem.e criações de incentivos governamentais para o auxílio sentimental e físico de mulheres que tenham sofrido quaisquer tipo de abuso de algum homem.","0,75","Já existem leis, deveria ser mais específico",,"A desigualdade empurra a população mais pobre para periferias sem infraestrutura, aumentando a exposição a enchentes, deslizamentos e doenças, ou seja, quem é mais vulnerável socialmente sofre mais riscos ambientais.","0,5",,,"Obras e participação: saneamento, drenagem, contenção de encostas e pavimentação com comitê de moradores para definir prioridades e fiscalizar. Prevenção e comunidade: mapeamento de áreas de risco, alertas e plano de emergência, multidões de limpeza e coleta de lixo, e ações de arborização e manutenção com apoio da prefeitura.",1,
"Segundo o artigo quinto da Constituição Federal brasileira, qualquer tipo de censura em relação à arte e a cultura é errada, ou seja, é possível de não punição jurídica. Se a arte, pelo ponto de vista do psicanalista Wely Rolnik é reacionário e disruptivo, então sim a arte tem o papel fundamental de questionar o status quo de uma sociedade. Uma proposta de intervenção para discriminação para minimizar as tensões da arte e censura, pode ser o uso simplificado e educativo do próprio artigo quinto da Constituição, pois quem sabe dos seus direitos, pode questioná-los.a segunda seria abordar nas escolas, esses conceitos em aula de artes.","0,9",Contradição conceitual,,"O patriarcado estrutural é um sistema em que os homens ocupam posições de maior poder na sociedade, enquanto as mulheres ficam em situações de desigualdade. Ele reforça estereótipos de gênero e limita a participação feminina na política, no trabalho e na vida social. Isso gera desigualdade de direitos e contribui para a naturalização da violência contra a mulher.","0,75",Faltou desenvolver questões cullturais,,"Centrais de denúncia contra qualquer tipo de violência contra a mulher, subsidiadas pelo Estado e pela polícia. Conscientização da gravidade e identificação de situações de violência contra a mulher na educação básica do país.","0,75",Desenvolver melhor as propostas,,"Atualmente, são os mais pobres e desempregados que mais vivem em zonas periféricas. Entretanto, por sua situação de moradia, fica difícil dele conseguir mudar, drasticamente, sua condição de vida, por exemplo, um filho de servente de pedreiro e funcionária doméstica possui muitas dificuldades há mais de concluir um ensino superior que um filho de empresários bem-sucedidos. Ou seja, ele possui muitos mas obstáculos para seguir uma carreira profissional que o filho de empresário que já tem um alto nível de vida(cria-se um ciclo de pobreza e riqueza)","0,5",,,"Primeiramente, e fundamental, seria o saneamento básico: implantação de água e esgoto encanado. Uma segunda ação seria a expansão do sistema educacional de qualidade para essas áreas remotas, de maneira a expandir o acesso à educação, e consequentemente, as oportunidades, a população dessas áreas. ",1,
"A relação entre a censura e a expressão da arte pode ser analisada pela autonomia de Kant, onde a proibição de qualquer expressão é injusta, pelo fato de ir contra a autonomia do indivíduo. Logo, pela criação do contrato social previamente determinado, não se pode censurar nenhum tipo de arte, pois remove a autonomia dos indivíduos.","0,25",Faltou duas propostas e relação com a cultura,,"O patriarcado e a desigualdade vem dos longos períodos da história humana, sempre tendo argumentos fisiológicos e comportamentais para defender ou se opor a um lado. A análise a ser feita é que fisiologicamente o homem é mais forte que a mulher, sendo assim, sempre manteve o posto de protetor do lar. Com isso a evolução desse comportamento de um homem ser considerado mais forte, mais capaz, mais preparado, acabou resultando em uma desigualdade entre homens e mulheres, onde os homens se revezam entre si para ocupar cargos mais altos e de certa forma excluindo as mulheres.","0,75",Faltou questões culturais,,"Fortalecer a rede de proteção: delegacias especializadas, medidas protetivas rápidas, abrigos e atendimento psicológico. Prevenção e educação: campanhas e ensino de igualdade de gênero e consentimento.",1,,,"Os dados divulgados pelo IBGE evidenciam a aumento de extrema pobreza, o que revela persistência e o aprofundamento das desigualdades sociais no país. Essa realidade mostra que o crescimento econômico não ocorre de forma igualitária, afetando as populações mais vulneráveis.","0,25",,,"Diante desse cenário, propostas podem ser desenvolvidas em prol de melhorias em bairros periféricos, como programas de transferência de renda, ampliação de educação de qualidade e geração de emprego, visando a justiça social e diminuição das desigualdades regionais","0,5",
"A arte pode ser um instrumento de reflexão, por isso é vitima de censura e debate constante. Quando questiona as liberdades individuais, a arte pode tocar em algum valor social que promove opiniões contrárias. Desta forma, algumas vezes sendo interpretada como algo que fere um valor subjetivo.","0,25",Faltou constituição e duas propostas,,"O patriarcado estrutural estabelece valores que estão enraizados no subconsciente coletivo da sociedade, provocando a desigualdade entre gêneros, mesmo que inconscientemente. A figura do homem no patriarcado é sempre retratada como dominadora, enquanto a da mulher é submissa e relativo à vontade do homem, muitas vezes sendo objetificada. ","0,5",Faltou questões culturais e divisão do trabalho,,"A primeira ação se baseia em julgamentos mais rigorosos contra homens que violentam mulheres: prisão perpétua, nenhum benefício carcerário… A segunda ação foca em mostrar para todos os homens o que acontece caso eles forem pegos violentando mulheres. A situação precária desses presos deve ser divulgadas como forma de amedrontador.",1,,,"São em bairros periféricos que existe a falta do básico que todos deveriam ter acesso. Essa relação ocorre por conta do passado escravocrata, onde os escravos que fugiam foram para regiões distantes, de difícil acesso e em áreas de mata, o que com o passar dos anos foi chamada de favelas.","0,25",,,"Programas sociais educacionais por meio do esporte e da arte, além do incentivo a cursos profissionalizantes gratuitos de qualidade.","0,25",
"Em épocas de censura, a arte passa a ser questionada e transforma, entrando em tensão com a cultura, que tende a definir o que é aceito. Porém, a constituição de 1988 garante a liberdade de expressão artística, sem censura prévia, então a discordância não pode virar proibição, o correto é debate e crítica, não silenciamento. As ações educativas para reduzir essas tensões são a educação para leitura crítica da arte e da mídia e espaços para diálogo. ","0,75",,,"O patriarcado é um sistema estrutural que mantém desigualdades ao reforçar esteriótipos, homem igual autoridade, mulher igual submissão, justificando exclusão política, divisão sexual do trabalho e violência, e ainda culpabilizando a mulher","0,75",,,"Fortalecimento de políticas públicas de proteção e acolhimento, como casas-abrigo e delegacias especializadas, garantindo segurança e autonomia as vítimas. Ampliação de programas educativos e campanhas permanentes de conscientização sobre igualdade de gênero, desconstruindo esteriótipos.",1,,,"Vivemos no sistema econômico capitalista, para poucos ricos seremos muitos pobres. Essa pirâmide social e responsável pela segregação ao acesso em todos os tipos de recursos e oportunidades. Os mais necessitados vão se tornando marginalizados, criando suas habitações irregulares e com isso, agravam-se os problemas ambientais.casas irregulares, sem saneamento básico e etc. ","0,5",,,"Regularização desses ambientes, projetos desenvolvidos pelo Estado, com custo acessível e com possibilidades de crédito facilitados para financiamento.","0,5",
"A arte tem função de questionar, provocar reflexões e transformar a sociedade enquanto a cultura tende a manter padrões. Por isso, a arte muitas vezes entra em conflito com valores já aceitos, gerando tentativas de censura. A constituição de 1988 garante a liberdade de expressão artística, portanto, limitar a arte significa limitar a diversidade. Duas ações a reduzir estas tensões vão desde investir na educação artística nas escolas à projetos culturais que valorizem a diversidade","0,75",,,"O patriarcado estrutural é um sistema social que favorece os homens e coloca as mulheres em posição de desigualdade. Se manifesta na divisão do trabalho, na exclusão política e outros, mantidos por esteriótipos de gênero que reforçam a dominação masculina.","0,75",,,Punição mais severa contra crimes de violência a mulher e maior incentivo do estado a programas sociais que mobilizem as mulheres a denunciarem criminosos.,"0,5",,,"Perfil: população que reside em área periféricas, sem recursos básicos, pobres consequentemente, estão mais expostos aos fenômenos de risco socioambientais.","0,25",,,Programa de moradia justa com recursos para possibilidade de manutenção do benefício. Ações voltadas ao saneamento básico com recompensas para as pessoas que fizerem o uso mais consciente dos recursos ofertados.,"0,75",
"Após ler os dois textos, é possível entender que é a arte que determina a cultura do local. Porém, após determinadas, vêm novas formas e ideias de arte para alterá-la e reestruturá-la novamente.assim, é um ciclo infinito que molda, cada vez mais, as virtudes e culturas dos locais. E é, exatamente neste ponto, que entra a censura.a censurar determinados tipos de arte, a reformulação e atualização da cultura local não acontece, e permanece estagnada(não acompanhando o tempo presente) entretanto, na minha opinião, tipos de arte que preguem qualquer tipo de violência precisa ser as únicas proibidas, já que reestruturar uma cultura voltando para a violência não é justificável.","0,5",,,"O patriarcado estrutural contribui com a desigualdade entre homens e mulheres, já que prega práticas violentas e acentua o poder dos homens sob mulheres.","0,5",,,"Liberar o acesso aos lugares que as mulheres não tinham permissão simplesmente, não funciona.precisa se criar programas educacionais que promovam a igualdade. Por exemplo, o desenvolvimento de um curso profissionalizante que habilite forma mulheres para cargos de liderança.","0,5",,,"Perfil da população e risco: a população de baixa renda é empurrada pela especulação imobiliárias para áreas periféricas e frágeis(encostas, beira de rios). Sem infraestrutura esse grupo se torna a principal vítima de desastres ambientais","0,5",,,Urbanização participativa: obras de saneamento e contenção de encostas definidas em conjunto com associações de moradores. Defesa Civil comunitária: criação de núcleo sociais treinados para monitorar a área de risco e emitir alerta de evacuação.,1,
"A arte está dentro da cultura, trazendo vivacidade, liberdade de expressão, pensamento crítico sobre uma peça de teatro, um quadro e etc… Porém a arte possui uma grande responsabilidade com a sociedade, impactando na formação de conceitos e pensamentos individuais, assim a arte tem o dever de não ferir uma classe social ou massa de pessoas.","0,25",,,"A relação é a resposta da sociedade atual que viveu séculos de patriarcado e ainda existem resquícios, que justamente é a alta taxa de feminicídio e estupro em uma sociedade que se diz moderna.","0,25",,,Implementação de políticas públicas que protejam as mulheres de forma eficaz. Implementação de programas de educação e conscientização nas escolas.,"0,75",,,"A população brasileira atingida pela desigualdade são pessoas de baixa renda, a grande maioria periféricas. Os fenômenos de risco socioambiental estão ligados ao nível de infraestrutura que se beneficiam de pessoas de classe alta, fazendo uma exclusão de pessoas mais pobres.","0,5",,,"Investimento em uma infraestrutura em áreas periféricas, assim como subsídios para compra de imóveis dessa população.","0,5",
"Conforme o texto um, a arte é o que tenciona a cultura e leva para diferentes lugares e tempo. Quando estudamos a história da arte, é comum estar presente nas obras elementos que são característicos daquele período e grupo de pessoas, ou seja, elementos culturais. a arte pode ser instrumentalizada de infinitas formas, seja para criticar algum comportamento, enaltecer uma figura de poder ou apenas causar um sentimento de conforto. Entretanto, assim como qualquer outro tipo de comunicação, a mensagem pode ser interpretada de modos diferentes entre o emissor e o receptor. Deve-se considerar a arte com cuidado e relevância, precisa ser estudada e produzida. A arte pode superar a censura de um governo autoritário e guiar a população ao levante. Precisamos de políticas públicas que facilitem o acesso de democratizado a arte e que as universidades, independente do curso, incentivem os alunos ao tempo de dedicação para sua compreensão.","0,5",,,"Desde a antiguidade, os homens eram figuras de poder, de força e trabalho.ao longo dos anos, as mulheres mulheres foram conquistando lugares neste espaço que não eram comuns. Apesar disso, não equalizar a situação entre os gêneros muito por conta desses estigmas como mulher não se interessa por política ainda estão presentes na nossa sociedade.","0,25",,,Redes de proteção: ampliação das delegacias da Mulher e suporte psicológico às vítimas. Educação preventiva: inclusão de currículos escolares que combatem estereótipos de gêneros desde a infância.,1,,,"Com cada vez mais a centralização do mercado nas grandes metrópoles geram uma perspectiva de vida melhor a todos que desejam fazer parte deste mercado, entretanto isso gera um crescimento populacional gigante e as infraestruturas não acompanham o crescimento rápido das famílias, e consequentemente a um aumento da demanda por itens e serviços básico. Já a extrema pobreza aumenta portanto as condições mínimas de vida que são considerados através do salário não importam manter este custo de vida alto que não há correção de valor, não apenas custo, pois fica muito condizendo o acúmulo de de capital para poucas pessoas.","0,5",,,"É algo muito difícil de Acontecer devido ao tamanho do Brasil, como por exemplo realizar aplicação de encanamentos e regularização de água e energia em grande escala para minimizar esses traumas socioambientais, porém deve haver um incentivo para que haja criação de comércio nos pequenos polos afetados para que haja crescimento de tanto dos moradores como de comércio infraestrutura de maneira automática.","0,5",
"A distinção entre o que de fato pode ser considerado arte, dentro do ponto de vista cultural, e o que se enquadra como um protesto da sociedade mascarado de arte é fundamental para garantir a liberdade artística prevista pela lei. Propor análises acerca de movimentos artísticos clássicos, isto é, antes da era moderna também se enquadra como um exercício educativo relevante na abordagem proposta.","0,75",,,"O patriarcado estrutural carrega vieses, isto é, pressupostos aceitos e propagados na sociedade, contribuindo diretamente para a desigualdade entre sexos. Herdados das sociedades antigas, paradigmas associados às mulheres aumentam os índices de desigualdade, por vezes, a propriedade intelectual de pessoas do sexo feminino são colocadas em discussão como sendo inferior a dos homens","0,5",,,"Criar e reforçar leis que protegiam as mulheres, para os culpados pagarem pelos crimes; Incentivar mulheres nas áreas em que há uma maior predominância de homens (como na política); Políticas públicas para dar mais voz as mulheres.","0,25",,,"É possível relacionar o alto índice da população em situação de pobreza com aumento de fenômenos de risco socialmente ambiental partindo do ponto que quanto mais pessoas em estado de pobreza, maior a tendência do aumento da periferia e construções irregulares.","0,25",,,Uma proposta é a redistribuição desta população para o centro da cidade e a outra é a construção de grandes edifícios custeado pela prefeitura de modo que a população possa habitar em um local com condições seguras. ,"0,5",
"Relação arte, cultura e censura: a arte termo a questionar padrões, enquanto a cultura estabelecida tenta regular comportamento. A censura surge desse conflito. Porém, a Constituição de 1988 garante a liberdade de expressão, proibindo a censura, mesmo que a arte seja incômodo ou polêmica. Duas ações educativas: debates escolares e mediação cultural","0,75",,,"O patriarcado estrutura a sociedade colocando o homem como autoridade(espaço público) e a mulher como submissa(espaço doméstico). Isso gera desigualdade salarial, exclusão política e legitima a violência como forma de controle sobre a mulher.","0,75",,,"O estado deve cada mais reforçar as políticas que lutam a favor das mulheres e nada melhor que isso do que conduzir mais jovem mulheres no comando altos postos estatais. O estado deve também identificar cada vez mais o uso psicológico, com acompanhamento de mulheres e enraizamento da cultura pela própria parte feminina.",1,,,"A relação entre o perfil da população brasileira atingido pelas desigualdades sociais nas cidades e os fenômenos de risco socioambientais de risco como por exemplo: encostas com deslizamentos, rios, zonas industriais.de forma geral, grupos vulneráveis sofrem mais com questões climáticas e ambientais.","0,65",,,"A primeira proposta seria construir centros de acolhimento desta população para que estas possam se abrigar perante essas situações. A segunda seria a elaboração de um programa de reinserção dessas pessoas na sociedade, a partir de capacitação de profissionais e educação básica a todas as idades.","0,25",
"A cultura é vista como algo de certa forma mais padronizado, algo comum de se ver. Já a arte pode questionar e mostrar algo de uma maneira diferente do habitual, impactando a população. E esse impacto pode gerar um tipo de censura visto que há pessoas que possuem poder para isso, mesmo que seja algo ilegal. Mas a constituição garante essa liberdade, e medidas podem ser adotadas para incentivar pessoas a pensarem e se expressarem de maneira diferente. Incentivar crianças desde pequenas a terem um pensamento próprio e não 100% moldado, e fazer com que o povo enxergue mais esta arte que vai contra os padrões.","0,75",,,"O patriarcado estrutural faz com que o povo enxergue as mulheres de uma forma inferior em relação aos homens, e que limitem as mulheres. Há um padrão da sociedade a ser seguido, de acordo com este patriarcado. E é algo presente na sociedade e de certa forma enraizado. Isso faz com que haja uma desigualdade entre os gêneros, e até na mentalidade da mulher. Talvez, as mulheres não de envolvem tanto na política quanto os homens por conta dessa distinção que fazem. Isso molda muitas mulheres e fere sua liberdade individual","0,5",,,"Uma das ações é reestruturação e melhoria de centrais de esporte as mulheres, fazendo com que esse sistema realmente seja mais eficiente e outra ação possível é a realização de campanhas que possam encorajar as mulheres para que elas não se calem mediante a situações de abusos. ",1,,,"A relação é que onde a pessoa está inserida no meio, e ela tem tolerância para este ambiente e não muda de local, gera um ciclo vicioso onde o pensamento do do máximo onde você pode chegar é pequeno.","0,25",,,Incentivo na educação para que as pessoas com infraestrutura pior que a outra não tem este pensamento de serem incapazes.,"0,25",
"Considerando os moldes que estão se formando nas gerações atuais, acho importante através de políticas criada no período de formação de pessoas, como as crianças a definição do que é certo e do que errado nos conceitos da sociedade e nos valores políticos e também de uma outra perspectiva incentivar o senso crítico porque isso é certo ou errado para formar seres pensantes game-changer do mundo pois é mais difícil nos dias atuais grandes pensadores e criadores de formas de pensamento, ligado aos inseridos gerais.","0,25",,,"Na sociedade este modelo governança , está imposto há muito mais tempo do que esta crescente luta pelos direitos femininos, mesmo que os tempos passem essa cultura se torna invertida, até mesmo no contexto divino como a Bíblia, grande influente até os dias de hoje, o papel da submissão feminina.mesmo com essa raiz de problema grande vejo com advento das próximas gerações cada vez mais este alinhamento dos direitos visto que ainda possa levar mais algum tempo, entretanto é algo inevitável.","0,75",,,Duas ações seriam: pena de morte a responsáveis por feminicídio e centros de acolhimento à mulheres que sofreram algum tipo de violência.,"0,5",,,"Normalmente a população em mais baixo nível social, tem menores acesso às questões básicas, Assim não se conscientizar de certa forma sobre questões reprodutivas e econômicas, gerando mais riscos sociais para um futuro próximo.","0,25",,,"Normalmente este tipo de ação não tem uma adesão total de comunidades, onde infelizmente o governo teria que aplicaram o modo de compensação a todos os moradores. Com isso teriam acesso a questões básicas apenas aqueles que aderirem ao projeto, fazem assim a adesão total dos moradores. Uma reestruturação do local das moradias, e junto com a primeira ideia, uma conscientização e preservação dos locais.",1,
"É possível afirmar que todo movimento artístico atua em um constante desenvolvimento: nada é fixo e pode ser absorvido por diversos grupos da sociedade por diversos pontos de vista. No entanto, o limite da arte está quando ele diminui ou prejudica qualquer direito humano, logo, para garantir uma liberdade artística segura para a população, é dever do estado punir aqueles que usam a arte como instrumento de ódio e promover mais cursos sobre as culturas que estão presente no país.","0,25",,,O histórico do patriarcado estrutural que esteve presente no passado foi responsável por promover a desigualdade que vivenciamos hoje entre homens e mulheres: eles foram responsáveis por reforçar este estereótipos de grupos majoritários e isso inviabiliza a flexibilidade das ações dos homens e das mulheres.,"0,5",,,"A constante reeducação para que não exista desigualdade de gênero em propagandas, aumentar a facilidade para que uma mulher consiga Denunciar facilmente essas violências.","0,25",,,"A população brasileira mais atingida pelas desigualdades sociais sempre são as castas mais humildes, economicamente, pois estas são aqueles que precisam e contam com as estruturas públicas e serviços prestados. Quando se tem um crime, as primeiras pessoas a sentirem são elas, nos mercados, nas contas do lar, no preço dos uniformes dos filhos, nos corte das vagas em escolas públicas, que por terem seu dinheiro contado percebem a falta dele ao final.","0,25",,,"Primordialmente a saúde e bem-estar do ambiente com esgoto encanado e água potável, garantindo o mínimo de dignidade para essas pessoas, diminuindo os riscos de contraírem doenças e além disso escola e educação de qualidade para haver a possibilidade de um dia esta criança mudar a realidade dela e não se corromper ao crime organizado, garantindo assim a diminuição da criminalidade em um futuro próximo.",1,
"A arte reorganizando o desorganizando a cultura pode propor um imaginário perigoso um governo autoritarismo. A censura é a manutenção deste sistema. Para reduzir as tensões e garantir a liberdade artística prevista, faz-se interessante o ensino em escolas a respeito do livre arbítrio e da autoridade sobre este. Tudo que criamos, é da nossa autoria, e portanto somos responsáveis por tudo aquilo que criamos.seja, críticas, arte, julgamentos.vale ressaltar a importância de saraus de arte para maior disseminação e aceitação desta na sociedade.","0,75",,,"O patriarcado estrutural fez com que a mulher deixassem de chegar à força da feminilidade. Partindo do princípio que todos os seres só por estarem vivos têm a capacidade e a auto determinação de se desenvolver plenamente dentro de sua própria individualização. O patriarcado tirou das mulheres, através da desigualdade de gênero, esse princípio.na maioria das vezes o mundo não é justo com as mulheres, tendo em vista, salários reduzidos, violência doméstica, assaltos em maior escala.mas mesmo assim, estas se lembraram que elas têm tanto o mesmo direito quanto à capacidade dos homens, todo esse sistema pode mudar.","0,5",,,"O estado brasileiro já tem duras penas para tais crimes. A violência deve ser diminuída como um todo. Para o crime de violência física de modo geral o Estado deve tratar o agressor de maneira rígida e penas duras, como maior tempo de pena e indenização pesada para a vítima. O estado de certa forma não consegue moldar o indivíduo que tem o perfil agressivo, a não ser que ele o exclua da sociedade.",1,,,"A população mais pobre, concentrada nas periferias, vivem em áreas sem infraestrutura adequada, ficando mais expostas a enchentes, deslizamentos e outros riscos socioambientais.","0,5",,,"Implementação de saneamento básico, junto à obras de reforma, limpeza das ruas e calçada.","0,5",
"Para minimizar as tensões de dois lados devemos utilizar a arte até certo ponto, para isso precisamos estabelecer um limite até onde a arte é benéfica e este limite são os direitos e deveres.",0,,,A relação e que algumas pessoas ainda pensam que existem lugares para determinado sexo consequentemente a ideia da mulher doméstica.,0,,,"Nos dias atuais temos diversas ferramentas que foram criadas para que essa violência e impunidade dos agressores diminua. Antigamente com a ausência dessas ferramentas a impunidade era evidente pela falta de credibilidade da voz da mulher, já com as ferramentas que conseguem registrar estes momentos, esta voz passou a ser mais escutada.acredito que uma maneira de aumentar cada vez mais o aumento desta pena para violência contra a mulher deve ser cada vez mais rígida dada a intensidade de cada caso.","0,5",,,"Nas grandes cidades do Brasil, a desigualdade social é algo muito presente invisível, que em um minuto você sai de um bairro nobre e entre um bairro extremamente pobre, definindo o perfil da população brasileira.e com esse crescimento exponencial das cidades, a população de classe baixa acaba invadindo e construindo casas em lugares inapropriados, o que acaba gerando risco socioambientais.","0,5",,,"Uma proposta para desenvolvimento em bairros periféricos, seria o auxílio na estrutura da comunidade. Como investimento no saneamento básico, na estrutura das casas, etc outra proposta seria um maior investimento na educação pública, aumentando a capacidade profissional da população, fazendo com que conquistas melhores cargos, e assim ter maior poder econômico, conseguindo morar em situações melhores.",1,
